Month,Python,C++,Java,C,C#,JavaScript,Visual Basic,Go,Fortran,Delphi,SQL,MATLAB,Rust,Scratch,PHP,Assembly,R,Ruby,COBOL,Swift
2015-07,4.26,8.64,17.73,16.15,5.65,2.19,1.95,0.06,0.77,1.03,2.44,1.21,0.12,0.58,2.89,1.54,1.23,1.38,1.03,1.23
2015-08,4.07,7.74,19.27,14.73,4.84,2.16,1.78,0.08,0.85,0.92,2.44,1.23,0.14,0.64,2.73,1.76,1.01,1.42,0.99,1.18
2015-09,3.66,6.78,19.56,15.62,4.91,2.34,1.53,0.25,0.89,1.16,2.44,1.18,0.2,0.79,2.53,1.81,1.04,1.78,0.99,1.19
2015-10,4.51,5.75,19.54,16.19,4.82,2.29,1.51,0.14,0.84,1.81,2.44,1.16,0.2,0.64,2.56,1.57,0.99,1.83,0.91,1.28
2015-11,3.77,6.2,20.4,17.15,4.32,2.47,1.68,0.2,0.83,0.96,2.44,1.19,0.19,0.6,3.25,1.88,1.01,2.04,0.92,1.24
2015-12,4.43,5.94,20.97,16.46,4.11,2.36,1.65,0.19,0.82,1.12,2.44,1.17,0.22,0.73,2.79,1.93,1.12,2.06,0.83,1.41
2016-01,3.85,6.91,21.47,16.04,4.71,2.57,1.68,0.16,0.85,1.79,2.44,1.23,0.19,0.57,2.71,2.09,1.05,2.05,0.87,1.36
2016-02,4.18,6.91,21.14,15.59,4.4,2.2,1.86,0.29,0.67,2.16,2.44,1.09,0.2,0.79,2.77,1.83,1.19,2.05,0.85,1.38
2016-03,4.26,6.72,20.53,14.6,4.27,2.33,1.67,0.2,0.79,2.01,2.44,1.19,0.21,0.77,2.77,1.85,1.29,2.24,0.94,1.59
2016-04,3.33,5.92,20.85,13.91,3.8,2.57,1.61,0.24,0.76,2.21,2.44,1.34,0.19,0.81,2.99,2.19,1.27,2.35,1.02,1.48
2016-05,3.79,6.7,20.96,13.22,4.48,2.34,1.83,0.25,0.7,2.01,2.44,1.29,0.23,0.93,2.99,1.88,1.33,2.34,0.88,1.59
2016-06,3.9,6.2,20.79,12.38,3.79,2.58,2.25,0.21,0.96,1.94,2.44,1.45,0.26,0.95,3.23,2.12,1.54,2.34,1.05,1.83
2016-07,4.17,6.31,19.8,12.24,3.92,2.64,2.01,0.16,0.94,2.04,2.44,1.56,0.24,1.08,3.27,2.28,1.51,2.12,1.14,1.96
2016-08,4.4,5.8,19.01,11.3,4.91,2.71,2.05,1.27,0.75,2.28,2.44,1.54,0.25,1.05,3.17,2.36,1.61,2.28,0.98,1.98
2016-09,4.3,6.66,18.24,10.95,5.49,2.93,1.76,1.62,0.68,2.17,2.44,1.83,0.26,0.84,2.85,2.42,1.68,1.97,1.06,1.93
2016-10,3.77,5.8,18.8,9.84,4.37,2.75,1.99,1.81,0.74,1.88,2.44,1.62,0.3,1.13,2.74,2.23,1.74,2,1.13,2
2016-11,3.57,5.41,18.75,9.2,3.66,2.71,1.92,2,0.74,1.95,2.44,1.97,0.29,1.08,3.13,2.44,1.72,1.98,1.04,2.04
2016-12,4.24,5.34,17.86,8.73,3.17,2.86,1.97,1.94,0.75,1.95,2.44,1.82,0.32,1.19,2.92,2.54,1.83,2.15,1.03,2.13
2017-01,3.46,6.3,17.28,9.35,4.04,2.85,1.91,2.33,0.74,2.56,2.44,1.58,0.31,1.16,2.56,2.7,1.79,2.55,1.03,1.93
2017-02,4.04,5.43,16.68,8.44,4.9,2.87,1.88,2.1,0.83,2.48,2.44,1.72,0.36,1.5,3.07,2.11,1.92,2.15,1.17,2.13
2017-03,3.92,5.18,16.38,7.74,4.41,2.67,2.01,1.98,0.74,2.54,2.44,1.85,0.38,1.47,3.01,2.23,2.02,2.25,1.04,2.27
2017-04,3.46,4.55,15.57,6.97,3.58,2.85,2.06,1.97,0.8,2.82,2.44,2.04,0.37,1.67,3.38,2.17,2.14,2.31,1.23,2.29
2017-05,3.55,4.75,14.64,7,3.46,3.07,2.35,2.08,0.76,2.04,2.44,2.06,0.41,1.67,2.69,2.86,2.19,2.43,1.11,2.27
2017-06,4.33,5.72,14.49,6.85,3.53,3.02,2.01,2.04,0.78,2.16,2.44,2,0.48,1.71,2.77,2.25,2.15,2.22,1.1,2.21
2017-07,3.54,5.58,13.77,7.32,3.52,2.61,2.1,2.36,0.86,2.49,2.44,2.01,0.46,1.81,3.09,2.24,2.11,2.25,1.13,2.25
2017-08,3.69,5.55,12.96,6.48,4.2,2.1,1.81,1.65,0.67,1.82,2.44,1.62,0.36,1.48,2.29,1.81,1.77,1.97,0.99,1.83
2017-09,2.98,5.56,12.69,7.38,4.78,2.02,1.75,1.57,0.88,1.78,2.44,1.63,0.42,1.38,2.21,1.64,1.82,1.93,1.05,1.93
2017-10,3.8,5.01,12.43,8.37,3.86,3.01,1.42,1.36,1,2.18,2.44,1.88,0.41,1.82,2.79,2.37,1.68,2.32,1.14,1.67
2017-11,4.48,5.34,13.23,9.29,3.01,2.97,1.49,1.57,0.67,1.74,2.44,1.6,0.7,1.55,1.9,1.72,1.6,1.59,0.91,1.39
2017-12,3.78,4.72,13.27,10.16,2.82,2.47,1.35,1.39,0.66,1.4,2.44,1.57,0.53,1.37,1.59,1.47,1.91,1.42,0.96,1.57
2018-01,4.68,5.6,14.22,11.04,3.75,3.47,2.31,1.57,0.43,2.38,2.44,1.65,0.23,1.74,2.53,2.06,2.55,2.41,0.8,2.38
2018-02,5.17,5.73,14.99,11.86,4.45,3.16,2.18,1.42,0.48,2.59,2.36,1.23,0.2,0.94,3.42,1.83,2.09,2.53,0.63,1.79
2018-03,5.87,6.45,14.94,12.76,5.07,3.92,1.74,1.44,0.46,1.79,2.69,1.41,0.12,0.4,4.01,1.71,1.13,2.74,0.68,2.14
2018-04,5.8,7.22,15.78,13.59,5.27,3.49,1.8,1.18,0.39,1.96,2.65,1.46,0.13,0.65,4.22,1.65,1.81,2.02,0.54,1.53
2018-05,5.19,7.67,16.38,14,4.4,2.92,0.91,0.97,0.42,1.01,1.99,0.93,0.21,0.54,3.32,1,1.18,1.18,0.85,0.91
2018-06,5.76,8.34,15.37,14.94,4.31,2.5,1.15,0.88,0.32,0.88,2.34,0.89,0.26,0.6,2.88,0.92,1.45,1.25,0.62,1.14
2018-07,6.36,7.62,16.14,14.66,3.79,2.83,0.89,0.97,0.37,1.11,2.33,1.13,0.27,0.67,2.83,1.15,1.15,1.2,0.42,1.41
2018-08,6.99,7.47,16.88,14.97,3.54,2.41,0.92,1,0.4,1.37,2.32,1.37,0.27,0.62,2.93,1.41,0.96,1.18,0.41,1.38
2018-09,7.65,7.39,17.44,15.45,3.3,2.13,0.68,1.08,0.42,1.29,2.06,1.28,0.4,0.54,2.78,1.23,1.02,1.29,0.49,1.22
2018-10,7.16,7.59,17.8,15.38,3.49,2.28,0.65,1.25,0.37,1.15,2.04,1.32,0.28,0.5,2.79,1.25,1.21,1.11,0.48,1.5
2018-11,7.68,8.28,16.75,14.4,3.95,2.66,0.85,1.5,0.38,1.42,1.84,1.03,0.25,0.6,2.38,1.11,1.41,1.09,0.65,1.45
2018-12,8.38,7.56,15.93,14.28,3.45,3.06,0.98,1.19,0.48,1.4,2.18,1.28,0.3,0.49,2.44,1.37,1.11,1.11,0.52,1.22
2019-01,8.29,8.16,16.9,13.34,3.28,3.3,1.03,1.12,0.44,1.1,2.28,1.5,0.36,0.67,2.68,1.2,1.33,1.1,0.49,1.19
2019-02,7.57,7.44,15.88,12.42,2.85,2.85,0.99,0.96,0.51,1.07,1.9,1.2,0.23,0.46,2.27,1.38,1.04,1.04,0.51,0.92
2019-03,8.26,8.13,14.88,13.31,3.27,2.43,0.95,1.02,0.47,1.01,1.93,1.47,0.34,0.55,2.42,1.41,1.28,1.2,0.52,1.16
2019-04,8.17,8.84,15.04,14.08,3.52,2.51,1.06,1.01,0.56,1.26,2.27,1.29,0.34,0.49,2.24,1.71,1.18,1.28,0.59,0.98
2019-05,7.83,8.1,16,14.24,3.98,2.69,1.32,1.11,0.52,1.41,2.56,1.37,0.34,0.51,2.49,1.82,0.95,1.34,0.58,1.15
2019-06,8.53,7.38,15,13.3,4.48,2.72,1.07,1.26,0.48,1.13,2.22,1.08,0.26,0.53,2.57,1.48,0.91,1.39,0.4,1.42
2019-07,9.26,6.7,15.06,14.21,4.36,2.3,1.01,1.02,0.38,0.95,1.98,1.08,0.34,0.37,2.17,1.39,0.84,1.64,0.43,1.12
2019-08,10.02,6.06,16.03,15.15,3.84,2.26,1.02,0.97,0.36,1.19,1.63,1.27,0.45,0.45,2.08,1.11,0.82,1.32,0.37,0.89
2019-09,9.87,5.64,16.66,15.21,3.4,2.13,1.08,1.22,0.36,1.33,1.94,1.06,0.36,0.48,1.86,1.38,1.05,1.21,0.42,1.1
2019-10,9.09,6.23,16.88,16.18,3.86,2.08,1.23,1.1,0.44,1.05,1.93,0.92,0.36,0.52,1.91,1.31,1.26,1.32,0.45,1.36
2019-11,9.84,5.6,16.25,16.04,4.32,1.93,0.96,0.85,0.39,1.14,1.69,0.89,0.51,0.46,1.72,1.02,0.98,1.26,0.39,1.65
2019-12,10.31,6.2,17.25,16.09,4.8,2.09,0.93,1,0.39,1.28,1.84,0.99,0.37,0.54,2.05,1.07,0.99,1.31,0.42,1.49
2020-01,9.7,5.57,16.9,15.77,5.35,2.45,0.83,0.9,0.31,1,1.5,0.74,0.39,0.49,2.41,0.88,0.81,1.06,0.38,1.8
2020-02,9.35,6.16,17.36,16.77,5.93,2.06,0.6,1.13,0.23,0.75,1.53,0.79,0.35,0.53,2.02,1.11,1.01,0.84,0.34,1.46
2020-03,10.11,6.79,17.78,16.33,5.32,2.05,0.77,1.28,0.29,0.71,1.83,0.99,0.37,0.69,2.02,1.25,1.26,1.05,0.48,1.24
2020-04,9.31,6.78,16.73,16.72,4.74,2.38,4.72,1.36,0.33,0.7,2.17,0.93,0.52,0.77,2.37,1.16,1.54,1.25,0.52,1.52
2020-05,9.12,6.13,16.28,17.07,4.29,2.68,4.18,1.27,0.32,0.6,2.09,1.17,0.7,0.83,2.49,1.12,1.85,1.02,0.58,1.79
2020-06,8.36,5.95,16.1,17.19,4.73,2.27,4.69,1.02,0.27,0.59,1.73,0.9,0.64,0.73,2.26,0.97,2.19,0.98,0.45,1.46
2020-07,9.09,6.21,15.1,16.45,5.25,2.48,5.23,1.21,0.22,0.49,1.4,0.84,0.7,0.72,1.9,0.94,2.41,0.81,0.5,1.43
2020-08,9.69,6.84,14.43,16.98,4.68,2.87,4.66,1.43,0.31,0.53,1.46,0.86,0.74,0.65,2.24,1.04,2.79,1.03,0.51,1.42
2020-09,10.47,7.11,13.48,15.95,4.58,2.54,4.12,1.46,0.36,0.53,1.76,1.1,0.92,0.73,2.49,1.3,2.37,1.24,0.43,1.38
2020-10,11.28,6.94,12.56,16.95,4.16,2.14,3.97,1.16,0.38,0.71,1.57,1.12,0.68,0.71,2.09,1.08,1.99,1.16,0.38,1.09
2020-11,12.12,7.6,11.68,16.21,4.67,2.03,4.01,1.36,0.41,0.86,1.54,1.1,0.58,0.63,1.79,1.17,1.64,1.22,0.53,1.35
2020-12,12.21,6.91,12.53,16.48,4.2,2.35,3.92,1.14,0.45,0.87,1.53,1.1,0.78,0.67,2.12,1.35,1.6,1.16,0.43,1.22
2021-01,11.72,7.56,11.96,17.38,3.95,2.2,3.84,1.41,0.46,0.79,1.61,1.15,0.61,0.71,1.99,1.64,1.9,1.3,0.42,1.43
2021-02,10.86,6.88,11.29,16.34,4.44,2.27,4.33,1.28,0.63,1.01,1.72,1.06,0.49,0.82,1.75,1.65,1.56,1.23,0.58,1.13
2021-03,10.31,6.52,10.45,15.33,4.97,2.11,4.85,1.31,0.83,1.2,1.87,1.04,0.55,0.78,2.07,1.97,1.25,1.18,0.57,0.95
2021-04,11.03,7.14,11.23,14.32,4.91,2.44,4.55,1.22,0.91,1.47,1.83,0.99,0.49,0.68,1.84,2.32,1.12,1.23,0.65,1.19
2021-05,11.87,7.81,11.74,13.38,4.41,2.45,4.02,1.22,0.83,1.21,1.71,1.23,0.66,0.75,1.86,2.43,1.38,1.5,0.5,1.14
2021-06,11.84,7.36,11.54,12.54,4.33,2.33,4.01,0.95,1.07,1.06,1.88,1.05,0.47,0.71,2.21,2.05,1.2,1.23,0.57,1.1
2021-07,10.96,8.02,11.2,11.63,4.84,2.71,4.5,1.17,1.12,0.85,1.53,0.89,0.49,0.69,2.58,2.4,1.33,0.95,0.5,1.07
2021-08,11.86,7.36,10.43,12.57,5.14,2.95,4.67,0.9,1.14,0.62,1.47,0.98,0.56,0.55,2.19,2.03,1.05,1.01,0.37,0.98
2021-09,11.67,7.13,11.12,11.83,5.78,2.55,4.63,1.13,1.01,0.77,1.8,1.02,0.57,0.75,1.85,2.42,0.98,1.27,0.53,1.07
2021-10,11.27,7.5,10.46,11.16,5.26,2.19,5.34,1.28,1.08,0.93,2.17,1.2,0.53,0.69,2.1,2.06,1.2,1.12,0.71,1.11
2021-11,11.77,8.28,10.72,10.72,6.06,2.66,5.72,1.21,1.19,1.22,2.11,1.17,0.54,0.77,1.81,2.52,1.28,1.43,0.68,1.43
2021-12,12.9,7.73,10.12,11.8,6.4,2.3,5.4,0.95,1.04,1.14,1.79,0.92,0.45,0.6,1.5,2.25,1.58,1.16,0.68,1.76
2022-01,13.58,8.29,10.66,12.44,5.68,2.09,4.74,1.04,0.77,0.99,1.8,0.96,0.5,0.59,1.4,1.85,1.25,0.88,0.51,1.41
2022-02,15.33,8.01,12.13,14.08,5.37,1.83,5.23,1.23,0.58,0.9,1.55,1.03,0.54,0.64,1.79,1.6,1.11,0.89,0.42,1.18
2022-03,14.26,8.66,11.19,13.06,5.92,2.09,5.77,0.98,0.39,1.12,1.85,0.8,0.51,0.53,1.92,1.9,1.37,0.66,0.54,0.98
2022-04,13.92,8.28,10.82,12.71,6.82,2.41,5.4,1.09,0.35,1.18,2.28,0.74,0.44,0.6,1.64,2.35,1.55,0.88,0.55,1
2022-05,12.74,8.83,10.99,11.59,6.39,2.12,5.86,1.11,0.38,1.42,1.87,0.82,0.39,0.65,1.52,1.92,1.22,0.86,0.62,1.23
2022-06,12.2,9.63,10.47,11.91,6.12,2.09,5.42,1.02,0.55,1.32,1.94,0.64,0.52,0.6,1.25,1.85,0.98,0.75,0.69,1.55
2022-07,13.44,10,11.59,13.13,5.65,1.78,4.97,1.14,0.76,1.06,1.64,0.73,0.42,0.72,1.2,1.65,0.76,0.99,0.53,1.27
2022-08,15.63,10.14,12.46,14.76,5.41,2.4,4.9,0.96,0.8,1.2,1.67,0.88,0.57,0.59,1.36,2.75,0.9,0.72,0.37,1.25
2022-09,15.74,9.76,11.72,13.96,4.88,2.82,4.39,1.16,1.03,1.09,2.01,1.06,0.51,0.57,1.68,2.49,0.95,0.66,0.52,0.98
2022-10,17.08,9.92,12.84,15.21,4.42,2.74,3.95,1.27,0.79,0.85,1.78,1.18,0.7,0.67,2.04,2.39,1.22,0.88,0.39,1.05
2022-11,17.18,10.75,11.98,15.08,4.25,3.19,4.11,1.15,0.57,1.08,1.82,1.02,0.75,0.88,1.69,2.18,1.14,0.85,0.54,0.87
2022-12,16.66,11.94,11.82,16.56,4.92,3.19,3.94,1.15,0.43,0.85,2.22,0.95,0.68,0.67,1.62,1.87,1.25,0.81,0.41,0.91
2023-01,16.36,12.91,12.21,16.26,5.73,2.87,4.64,1.14,0.45,0.73,2.5,0.91,0.61,0.58,1.39,1.6,1.04,0.8,0.33,1.2
2023-02,15.49,13.94,13.21,15.39,6.38,2.52,4.14,1.11,0.58,0.95,2.12,0.99,0.7,0.76,1.29,1.38,1.08,0.83,0.41,0.93
2023-03,14.83,13.29,13.56,14.73,7.17,2.17,4.75,1.24,0.79,1.06,1.95,1.08,0.73,1,1.61,1.11,0.93,0.76,0.58,0.71
2023-04,14.51,12.96,13.23,14.41,8.21,2.1,4.4,1.28,0.59,1.23,1.68,0.86,0.63,0.79,1.36,1.03,0.76,0.66,0.41,0.72
2023-05,13.45,11.96,12.22,13.35,7.43,2.44,3.84,0.99,0.78,1.01,1.48,0.88,0.82,0.95,1.59,1.2,0.82,0.8,0.56,0.91
2023-06,12.46,11.36,11.28,12.37,6.71,2.82,3.34,1,0.99,1.26,1.47,1.11,0.91,1.02,1.74,1.29,0.94,0.94,0.75,0.93
2023-07,13.42,10.8,10.5,11.56,6.87,3.11,2.9,1.07,1.25,0.98,1.48,1.26,0.89,1.07,1.41,1.01,0.87,0.91,0.86,0.88
2023-08,13.33,10.63,10.33,11.41,7.04,3.29,2.63,1.16,1.03,0.8,1.53,1.05,0.89,1.22,1.27,1.34,0.92,0.91,0.96,0.9
2023-09,14.16,10.65,9.49,11.27,7.31,3.3,2.22,1.19,1.28,1.02,1.44,1.19,0.97,1.08,1.55,1.53,0.97,0.95,0.88,1
2023-10,14.82,10.67,8.92,12.08,7.71,2.91,2.13,1.37,1.02,1.3,1.78,1.27,0.91,1.37,1.9,1.64,0.96,0.92,0.76,1.07
2023-11,14.16,10.36,8.35,11.77,7.65,3.21,2.1,1.19,1.3,1.14,1.88,1.15,0.91,1.31,2.3,1.35,0.93,0.99,0.88,1.04
2023-12,13.86,10.01,7.99,11.44,7.3,2.9,1.82,1.03,1.07,0.92,1.61,0.93,0.8,1.08,2.01,1.11,0.72,0.77,0.68,0.82
2024-01,13.97,9.96,7.87,11.44,7.16,2.77,1.6,1.38,1.09,1.09,1.46,0.97,0.79,1.44,1.79,0.92,0.74,0.8,0.78,0.89
2024-02,15.16,10.53,8.88,10.97,7.53,3.17,1.52,1.73,1.4,1.4,1.82,1.26,1.05,1.18,1.51,1.19,0.99,0.99,1.01,1.16
2024-03,15.63,10.7,8.95,11.17,7.54,3.38,1.42,1.56,1.22,1.22,1.92,1.24,1.03,1.46,1.32,1.39,0.81,1.01,0.83,1.08
2024-04,16.41,9.76,8.94,10.21,6.77,2.89,1.7,1.85,1.47,1.47,1.61,1.11,1.03,1.14,1.09,1.3,0.84,1.24,0.8,1.23
2024-05,16.33,9.53,8.69,9.98,6.49,3.01,2.01,1.6,1.24,1.24,1.44,1.06,0.93,0.93,0.97,1.07,0.75,1.06,0.85,1.01
2024-06,15.39,10.03,8.4,9.23,6.65,3.32,1.66,1.93,1.53,1.52,1.75,1.26,1.17,1.17,1.22,1.26,0.96,1.11,0.96,1.27
2024-07,16.12,10.34,8.59,9.48,6.72,3.79,2.08,2.19,2.05,1.89,2.04,1.34,1.18,1.15,1.15,1.11,0.83,1.16,1.08,1.13
2024-08,18.04,10.04,9.16,9.17,6.39,3.91,2.18,2.03,1.79,1.63,2.21,1.72,1.28,1.09,1.46,1.21,1.11,1.28,1.09,1.28
2024-09,20.17,10.75,9.45,8.89,6.08,3.92,2.7,2.35,1.78,1.77,1.94,1.47,1.32,1.11,1.46,0.99,1.2,1.13,1.09,1.08
2024-10,21.9,11.6,10.51,8.38,5.62,3.54,2.35,2.02,1.8,1.68,1.64,1.48,1.45,1.41,1.21,1.13,1.09,0.99,0.99,0.98