programming language,linkedin skill
PHP,123000
Java,103000
JavaScript,118000
JS++,0
Node.js,34000
Dart,945
Visual Basic,32000
PostgreSQL,36000
TypeScript,14000
.QL,0
SQL,143000
MySQL,129000
CHAIN,0
D++,0
Flow,0
FOCUS,0
Python,113000
kernel,0
Address,0
ASP.NET,12000
C,25000
C++,58000
Go,15000
Ruby,3500
GraphQL,4200
Ada,0
MariaDB,2600
Scheme,0
Low*,0
Expect,0
Copilot,0
Solidity,1000
pipelines,0
solid,0
RAPID,0
NPL,0
april,0
flagship,0
Swift,4600
Small,0
Kotlin,8300
Simplicity,0
Perl,1200
Scratch,1000
R,21000
R++,0
F,0
Scala,584
Groovy,435
Rust,856
Revolution,0
Apex,0
Click,0
MATLAB,34000
Adept,0
dss,0
SPARK,0
Pure,0
PL/SQL,8000
GAP,0
Falcon,0
Alpha,0
Plot,0
Joy,0
CONVERT,0
Frank,0
Objective-C,1600
lever,0
P,0
JADE,0
Blue,0
NATURAL,0
Inform,0
Reason,0
ARM,0
SR,0
Crystal,0
PowerHouse,0
Conceptual,0
Factor,0
False,0
RPL,0
SQLite,3600
fe,0
Chrome,0
Tao,0
Flavors,0
Cyber,0
Bash,319
DEMOS,0
Q,0
Pro*C,0
Gist,0
PROMETHEUS,152
PILOT,0
REDUCE,0
Monkey,0
Z++,0
Z,0
abs,0
FaCT,0
MACRO,0
FLUX,0
ECMAScript,68
Argus,0
Assembly,2200
PowerShell,847
FoxPRO,1600
Delphi,770
Visual FoxPro,1500
SCM,0
Red,0
MetaL,0
bamboo,0
SaltStack,31
Mercury,0
UNITY,10000
Arduino,23000
SAS,3800
SIGNAL,0
SPSS,83000
Amazon Redshift,306
Pig Latin,1
Spatial,450
AL,0
jasper,0
PowerBuilder,527
SRL,0
Virgil,0
Dale,0
Logos,0
LUCID,0
CUDA,284
LINQ,1000
JOVIAL,0
APL,0
Objective C++,0
Cell,0
MIMIC,0
Charity,0
Meson,0
DYNAMO,0
PLANNER,0
Haskell,20
Gherkin,1000
OBJ,0
frame,0
Tea,0
Sqlalchemy,226
Erlang,101
Sage,0
Lisp,104
Lua,327
bloom,0
score,0
HL7,60
VBA,3500
ActionScript,1000
Elixir,233
MAPPER,0
Boo,0
Pan,0
l2,0
Augment,0
FP,0
fp,0
Vale,0
candor,0
Stata,831
Arc,0
DML,0
IPL,0
XL,0
Star,0
fox,0
LEAP,0
Dockerfile,88
Dc,0
VBScript,692
CORAL,0
Coral,0
UniVerse,0
C2,0
C#,32000